DATE_ID,id,ORIGIN,DESTINATION,OD_DATE_TIME_START,OD_DATE_TIME_END,STATIONS_ALL,DATES_TIME_START_ALL,DATES_TIME_END_ALL,STATIONS_LEN
20240702,1090921693184,1606,1326,1696114800,1696117260,1606|1326|1606|1326,1696115100|1696117440|1696114800|1696117140,1696115100|1696117560|1696117260|1696117260,4
20240702,1090921693251,279,1681,1696088640,1696098900,279|829|2023|1452|1176|1667|1681,1696088640|1696089840|1696091040|1696097340|1696097760|1696098120|1696099440,1696088700|1696089900|1696094220|1696097400|1696097820|1696098180|1696099500,7
20240702,1090921693301,1645,1606,1696061400,1696070100,1645|1103|444|881|1606,1696061880|1696062300|1696061880|1696064280|1696070340,1696062300|1696065060|1696062060|1696064820|1696070340,5
20240702,1090921693305,2009,1645,1696071660,1696079460,2009|2005|2023|836|2066|1260|1625|1645,1696072020|1696072620|1696077060|1696078020|1696078500|1696078860|1696079340|1696079820,1696072020|1696072800|1696077420|1696078080|1696078560|1696078920|1696079400|1696079880,8
20240702,1090921693306,1394,1103,1696074240,1696079820,1394|829|2023|1645|1103,1696074780|1696075440|1696076580|1696079640|1696080060,1696074840|1696075500|1696077600|1696079700|1696080060,5
20240702,1090921693356,279,1606,1696060140,1696068600,279|1810|1250|1627|881|1584|1606,1696060140|1696060500|1696060800|1696061160|1696062240|1696068000|1696068600,1696060200|1696060560|1696060860|1696062780|1696062720|1696068180|1696068600,7
20240702,1090921693381,735,445,1696053120,1696070340,735|1627|279|829|2023|829|1394|445,1696053720|1696058940|1696059540|1696060740|1696062420|1696064460|1696065120|1696070580,1696053780|1696059000|1696059600|1696060800|1696063800|1696064520|1696065180|1696070580,8
20240702,1090921693383,836,493,1696061160,1696069080,836|2023|1627|1953|1313|493,1696061520|1696062180|1696066320|1696067160|1696068900|1696069200,1696061580|1696063560|1696066380|1696067280|1696068960|1696069260,6
20240702,1090921693396,2006,279,1696054260,1696065960,2006|2005|527|1702|2024|2023|829|279,1696054380|1696054620|1696060500|1696060800|1696061100|1696062480|1696065300|1696066500,1696054440|1696054740|1696060560|1696060860|1696061160|1696063920|1696065360|1696066560,8
20240702,1090921693420,1953,1606,1696071300,1696079100,1953|1152|1313|881|1606,1696071420|1696072140|1696072980|1696073640|1696079700,1696071540|1696072200|1696073700|1696074180|1696079700,5
20240702,1090921693430,1810,1326,1696056900,1696117260,1810|1250|1627|1313|445|1606|1326,1696056960|1696057260|1696057620|1696060500|1696061700|1696115400|1696117740,1696057320|1696057320|1696058280|1696060920|1696062060|1696115400|1696117860,7
20240702,1090921693432,509,493,1696058940,1696068660,509|2023|1038|1152|840|1313|493,1696059180|1696060020|1696067340|1696067700|1696068600|1696068900|1696069200,1696059240|1696061400|1696067400|1696067760|1696068660|1696068960|1696069260,7
20240702,1090921693433,1394,1627,1696056840,1696064820,1394|829|2023|1810|1250|1627,1696056840|1696057800|1696059060|1696064280|1696064580|1696064940,1696056900|1696057860|1696061160|1696064340|1696064640|1696065000,6
20240702,1090921693438,279,1606,1696063740,1696072200,279|1810|1627|881|1584|1606,1696063860|1696064220|1696064880|1696066140|1696071840|1696072500,1696063920|1696064280|1696066500|1696066620|1696072020|1696072500,6
20240702,1090921693439,279,1606,1696063740,1696070100,279|1810|1250|881|1606,1696064040|1696064400|1696064700|1696064340|1696070400,1696064880|1696064460|1696064760|1696064460|1696070400,5
20240702,1090921693443,1250,1493,1696064400,1696069500,1250|1627|777|1493,1696064700|1696065060|1696068420|1696069800,1696066140|1696065120|1696068780|1696069920,4
20240702,1090921693448,1023,445,1696056060,1696072980,1023|493|829|2023|829|493|1023|445,1696056120|1696056360|1696062600|1696064100|1696065720|1696072260|1696072500|1696073040,1696056180|1696056420|1696062660|1696064820|1696065780|1696072320|1696072560|1696073040,8
20240702,1090921693463,762,445,1696058340,1696080360,762|279|829|2023|840|1313|1023|445,1696058700|1696066800|1696068060|1696069380|1696079400|1696079700|1696080240|1696080960,1696058760|1696066860|1696068120|1696072320|1696079460|1696079760|1696080300|1696080960,8
20240702,1090921693464,2066,1627,1696068000,1696075620,2066|836|2023|360|279|1250|1627,1696068000|1696068360|1696069020|1696074300|1696074660|1696075320|1696075680,1696068060|1696068420|1696071960|1696074360|1696074720|1696075380|1696075740,7
20240702,1090921693494,2066,1627,1696064400,1696072020,2066|836|2023|360|279|1810|1250|1627,1696064580|1696064940|1696065600|1696071180|1696071540|1696072020|1696072320|1696072560,1696064640|1696065000|1696068540|1696071240|1696071600|1696072080|1696072380|1696072620,8
20240702,1090921693559,360,1606,1696095780,1696102500,360|279|1810|1627|881|1606,1696096380|1696096740|1696097100|1696097760|1696096500|1696102560,1696096440|1696097580|1696097160|1696097820|1696096620|1696102560,6
20240702,1090921693590,279,1273,1696103340,1696115880,279|1810|1250|1627|881|1584|1606|1273,1696103520|1696103880|1696104180|1696104540|1696103640|1696109520|1696110180|1696115880,1696104360|1696103940|1696104240|1696104600|1696103760|1696109700|1696111500|1696115880,8
20240702,1090921693594,1953,445,1696105800,1696109160,1953|1038|1152|1754|840|493|1023|445,1696106400|1696106940|1696107300|1696107660|1696108200|1696108800|1696109040|1696109760,1696106520|1696107000|1696107360|1696107780|1696108260|1696108860|1696109100|1696109760,8
20240702,1090921693633,1070,1606,1696060920,1696068600,1070|305|983|881|1584|1606,1696060920|1696061880|1696063920|1696062480|1696068240|1696068840,1696060980|1696062780|1696063980|1696063380|1696068420|1696068840,6
20240702,1090921693643,493,2066,1696052940,1696063740,493|360|453|1394|829|2023|836|2066,1696053540|1696058400|1696058700|1696059060|1696059840|1696061160|1696063800|1696064280,1696053600|1696058460|1696058760|1696059120|1696059900|1696063260|1696063860|1696064340,8
20240702,1090921693669,444,2066,1696072200,1696081740,444|2184|807|1006|2023|836|2066,1696072620|1696073040|1696073340|1696077060|1696078020|1696081800|1696082280,1696072620|1696073100|1696073400|1696077120|1696081080|1696081860|1696082340,7
20240702,1090921693712,2066,983,1696068000,1696074780,2066|836|2023|1650|1070|305|1049|983,1696068180|1696068540|1696069200|1696072020|1696072380|1696073160|1696074360|1696074720,1696068240|1696068600|1696070640|1696072080|1696072440|1696073220|1696074420|1696074780,8
20240702,1090921693806,1650,1606,1696100820,1696108200,1650|1070|305|1049|983|881|1584|1606,1696101120|1696101480|1696102260|1696103460|1696103820|1696102080|1696107780|1696108440,1696101180|1696102680|1696102320|1696103520|1696103880|1696102260|1696107960|1696108440,8
20240702,1090921693848,1070,1606,1696068780,1696079100,1070|305|1049|983|444|881|1606,1696068780|1696069560|1696070760|1696071120|1696070640|1696073040|1696079100,1696068840|1696070820|1696070820|1696071180|1696070820|1696073220|1696079100,7
20240702,1090921693854,1585,1964,1696072560,1696075500,1585|2051|1173|2005|2006|1195|1964,1696072560|1696072860|1696073520|1696074180|1696074480|1696074000|1696075500,1696072620|1696073160|1696073700|1696074300|1696074540|1696074300|1696075500,7
20240702,1090921693861,2066,1681,1696057200,1696064700,2066|836|2023|1452|1176|1667|805|1681,1696057260|1696057620|1696058280|1696062480|1696062900|1696063200|1696063440|1696064760,1696057320|1696057680|1696059780|1696062540|1696062960|1696063260|1696063500|1696064820,8
20240702,1090921693869,805,1926,1696063320,1696067400,805|1681|1158|2076|1926,1696063320|1696064640|1696063980|1696064820|1696067760,1696063800|1696064700|1696064160|1696065060|1696067760,5
20240702,1090921693895,666,1156,1696057620,1696066080,666|2023|1650|1624|724|1609|1428|1156,1696058220|1696059000|1696060080|1696063020|1696063380|1696063920|1696065540|1696065960,1696058280|1696059120|1696060380|1696063200|1696063800|1696063980|1696065600|1696066080,8
20240702,1090921693899,2006,818,1696050660,1696061220,2006|2005|527|1702|2024|2023|1400|818,1696050840|1696051080|1696056600|1696056900|1696057560|1696058580|1696060860|1696061460,1696050900|1696051200|1696056660|1696056960|1696057620|1696059960|1696060920|1696061520,8
20240702,1090921693912,493,818,1696052940,1696064460,493|453|1394|829|2023|1400|818,1696053120|1696058280|1696058640|1696059420|1696060740|1696064040|1696064520,1696053180|1696058340|1696058700|1696059480|1696063320|1696064100|1696064580,7
20240702,1090921693922,2024,1156,1696066260,1696073280,2024|2023|484|1624|724|1609|1428|1156,1696066260|1696066680|1696069740|1696070400|1696070760|1696071300|1696072920|1696073340,1696066320|1696066980|1696069860|1696070460|1696070820|1696071360|1696072980|1696073460,8
20240702,1090921693943,1167,1400,1696062300,1696071420,1167|1156|1428|2023|1400,1696062300|1696062660|1696063140|1696069020|1696071480,1696062300|1696062780|1696063200|1696070580|1696071540,5
20240702,1090921693984,1023,818,1696074240,1696086420,1023|493|453|1394|829|2023|1400|818,1696074480|1696074780|1696079640|1696080000|1696080780|1696082280|1696085940|1696086540,1696074540|1696074840|1696079700|1696080060|1696080840|1696085220|1696086000|1696086600,8
